Site,DC,Pod
MCD_07292,DAL,9
MCD_07416,DAL,9
MCD_07426,DAL,9
MCD_07527,DAL,9
MCD_07690,DAL,9
MCD_07730,SNA,9
MCD_07740,DAL,9
MCD_07776,SNA,9
MCD_07787,DAL,9
MCD_07898,DAL,9
MCD_08058,DAL,9
MCD_08096,DAL,9
MCD_08171,DAL,9
MCD_10081,DAL,9
MCD_10119,DAL,9
