Site,DC,Pod
MCD_02515,SNA,9
MCD_02570,SNA,9
MCD_02668,SNA,9
MCD_02731,SNA,9
MCD_02742,SNA,9
MCD_02743,SNA,9
MCD_02751,SNA,9
MCD_02933,SNA,9
MCD_02956,SNA,9
MCD_03059,SNA,9
MCD_03277,SNA,9
MCD_03319,SNA,9
MCD_03320,SNA,9
MCD_00022,SNA,9
MCD_00047,SNA,9
