Site,DC,Pod,normal,zone
MCD_17704,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_17809,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_17813,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_17914,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_19314,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_19567,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_20335,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_21090,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_21511,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_21555,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_22200,DAL,9,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00329,DAL,9,True,(GMT-06:00) Central Time (US & Canada)
MCD_00715,DAL,9,True,(GMT-06:00) Central Time (US & Canada)
MCD_02505,DAL,9,True,(GMT-06:00) Central Time (US & Canada)
MCD_03546,DAL,9,True,(GMT-06:00) Central Time (US & Canada)
