Site,DC,Pod
MCD_00201,DAL,10
MCD_00383,DAL,10
MCD_00837,DAL,10
MCD_02604,DAL,10
MCD_02917,DAL,10
MCD_04148,DAL,10
MCD_04605,DAL,10
MCD_04977,DAL,10
MCD_06717,DAL,10
MCD_08059,DAL,10
MCD_08284,DAL,10
MCD_10957,DAL,10
MCD_10985,DAL,10
MCD_11127,DAL,10
MCD_11179,DAL,10
MCD_11189,DAL,10
MCD_11199,DAL,10
MCD_11228,DAL,10
MCD_11311,DAL,10
MCD_11382,DAL,10
