Site,DC,Pod
MCD_11445,SNA,10
MCD_11463,SNA,10
MCD_11492,SNA,10
MCD_36862,SNA,10
MCD_37134,SNA,10
MCD_00353,DAL,10
MCD_00623,SNA,10
MCD_00731,SNA,10
MCD_00744,SNA,10
MCD_00773,SNA,10
MCD_00809,DAL,10
MCD_00900,SNA,10
MCD_00905,SNA,10
MCD_00917,SNA,10
MCD_00947,SNA,10
MCD_00975,SNA,10
MCD_00983,DAL,10
MCD_01064,SNA,10
MCD_02637,SNA,10
MCD_02655,SNA,10
MCD_02766,SNA,10
MCD_02902,SNA,10
MCD_02932,SNA,10
MCD_02934,SNA,10
MCD_03022,DAL,10
