Site,DC,Pod
MCD_00724,SNA,9
MCD_00731,SNA,9
MCD_00735,SNA,9
MCD_00741,SNA,9
MCD_00744,SNA,9
MCD_00757,SNA,9
MCD_00763,SNA,9
MCD_00773,SNA,9
MCD_00776,SNA,9
MCD_00777,SNA,9
MCD_00778,SNA,9
MCD_00779,SNA,9
MCD_00787,SNA,9
MCD_00793,DAL,9
MCD_00801,SNA,9
