Site,DC,Pod,normal,zone
MCD_00268,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00270,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00289,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00301,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00320,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00328,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00337,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00366,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00463,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00501,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00583,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00609,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00612,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00629,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00672,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00677,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00684,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00736,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00737,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00739,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00750,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00752,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00768,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00784,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00820,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00825,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00841,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00851,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
