Site,DC,Pod
MCD_25115,DAL,9
MCD_25183,DAL,9
MCD_25257,DAL,9
MCD_25383,DAL,9
MCD_25449,DAL,9
MCD_25571,DAL,9
MCD_25743,DAL,9
MCD_25746,DAL,9
MCD_25963,DAL,9
MCD_25988,DAL,9
MCD_26438,DAL,9
MCD_26511,DAL,9
MCD_26530,DAL,9
MCD_26537,DAL,9
MCD_27388,DAL,9
MCD_28045,DAL,9
