Site,DC,Pod
MCD_11943,SNA,10
MCD_11971,DAL,10
MCD_12073,SNA,10
MCD_12075,DAL,10
MCD_12097,DAL,10
MCD_12113,DAL,10
MCD_12128,DAL,10
MCD_12129,DAL,10
MCD_12180,DAL,10
MCD_12188,DAL,10
MCD_12203,DAL,10
MCD_12229,DAL,10
MCD_12258,SNA,10
MCD_12401,DAL,10
MCD_12452,DAL,10
