Site,DC,Pod
MCD_03498,SNA,10
MCD_03514,SNA,10
MCD_03568,SNA,10
MCD_03631,SNA,10
MCD_03684,SNA,10
MCD_03745,SNA,10
MCD_03865,SNA,10
MCD_03907,SNA,10
MCD_04032,SNA,10
MCD_04037,SNA,10
MCD_04071,SNA,10
MCD_04092,SNA,10
MCD_04126,SNA,10
MCD_04163,SNA,10
MCD_04179,SNA,10
