Site,DC,Pod
MCD_12515,DAL,10
MCD_12722,SNA,10
MCD_13300,DAL,10
MCD_13354,SNA,10
MCD_13872,SNA,10
MCD_14328,DAL,10
MCD_14530,DAL,10
MCD_15497,DAL,10
MCD_15822,DAL,10
MCD_15973,DAL,10
MCD_16045,DAL,10
MCD_16827,SNA,10
MCD_17047,DAL,10
MCD_17232,DAL,10
MCD_03334,SNA,10
