Site,DC,Pod,normal,zone
MCD_00561,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00903,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_25879,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_27753,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_28363,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_31389,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_31801,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_31844,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_32168,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_32554,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_32618,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_32658,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_33006,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_33162,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_36733,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01230,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01482,SNA,10,False,(GMT-08:00) Pacific Time (US & Canada)
MCD_01498,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01529,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01533,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01557,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01560,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01561,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01769,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01779,DAL,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01855,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01921,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_01949,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02005,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02032,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02033,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02034,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02057,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02094,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02280,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02282,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02328,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02477,SNA,10,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_02275,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02286,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02342,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02352,DAL,10,True,(GMT-05:00) Eastern Time (US & Canada)
