Site,reason
MCD_07690, 'a030z00000kecBx_07690_SDBRANCH', 1, 'Up') Not in ATT list
MCD_11803, 'a030z00000kechR_11803_SDBRANCH', 1, 'Up') Not in ATT list
MCD_11311, 'a030z00000kecyT_11311_SDBRANCH', 1, 'Up') Not in ATT list
MCD_16759, 'a030z00000ked18_16759_SDBRANCH', 1, 'Up') Not in ATT list
MCD_17704, 'a030z00000ked2Q_17704_SDBRANCH', 1, 'Up') Not in ATT list
MCD_00763, 'a030z00000kedW7_00763_SDBRANCH', 1, 'Up') Not in ATT list
MCD_05881, 'a030z00000kee9b_05881_SDBRANCH', 1, 'Up') Not in ATT list
MCD_05292, 'a030z00000keeDd_05292_SDBRANCH', 1, 'Up') Not in ATT list
MCD_06717, 'a030z00000kef7p_06717_SDBRANCH', 1, 'Up') Not in ATT list
MCD_05836, 'a030z00000kefam_05836_SDBRANCH', 1, 'Up') Not in ATT list
MCD_00524, 'a030z00000kefiR_00524_SDBRANCH', 1, 'Up') Not in ATT list
MCD_00593, 'a030z00000kefiW_00593_SDBRANCH', 1, 'Up') Not in ATT list
MCD_00625, 'a030z00000kefML_00625_SDBRANCH', 1, 'Up') Not in ATT list
MCD_00682, 'a030z00000kefMQ_00682_SDBRANCH', 1, 'Up') Not in ATT list
MCD_00685, 'a030z00000kefMV_00685_SDBRANCH', 1, 'Up') Not in ATT list
MCD_00364, 'a030z00000kefzD_00364_SDBRANCH', 1, 'Up') Not in ATT list
MCD_11179, 'a030z00000kege7_11179_SDBRANCH', 1, 'Up') Not in ATT list
MCD_00342, 'a030z00000kegIV_00342_SDBRANCH', 1, 'Up') Not in ATT list
MCD_13593, 'a030z00000kegtx_13593_SDBRANCH', 1, 'Up') Not in ATT list
MCD_16565, 'a030z00000kegu2_16565_SDBRANCH', 1, 'Up') Not in ATT list
MCD_16440, 'a030z00000keh6c_16440_SDBRANCH', 1, 'Up') Not in ATT list
MCD_14205, 'a030z00000kehaD_14205_SDBRANCH', 1, 'Up') Not in ATT list
MCD_00616, 'a030z00000kehEa_00616_SDBRANCH', 1, 'Up') Not in ATT list
MCD_11988, 'a030z00000kehr9_11988_SDBRANCH', 1, 'Up') Not in ATT list
