Site,DC,Pod
MCD_02733,DAL,10
MCD_02889,SNA,10
MCD_02953,DAL,10
MCD_02966,DAL,10
MCD_02981,SNA,10
MCD_02993,SNA,10
MCD_03174,DAL,10
MCD_03209,DAL,10
MCD_03278,DAL,10
MCD_03428,SNA,10
MCD_03445,DAL,10
MCD_03448,DAL,10
MCD_03518,DAL,10
MCD_03525,SNA,10
MCD_03543,DAL,10
MCD_03578,DAL,10
MCD_03593,DAL,10
MCD_03717,DAL,10
MCD_03754,DAL,10
MCD_03755,DAL,10
