site,Pod,DC,normal,zone
MCD_08030,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_08114,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10014,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10045,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10055,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10071,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10074,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10083,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10098,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10099,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10111,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10133,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10135,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10136,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10161,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10165,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10170,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10189,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10221,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10227,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10281,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10286,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10321,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10345,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10371,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10404,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10407,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10427,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10448,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10482,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10486,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10509,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10528,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10544,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10553,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10567,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10568,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10605,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10622,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10624,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10628,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10641,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10682,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10687,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10697,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10729,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10730,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10741,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10752,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10754,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10806,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10808,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10828,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10840,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10870,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10891,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10904,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10914,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10930,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10950,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10995,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11035,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11036,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11037,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11040,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11058,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11079,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11094,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11103,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11110,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11112,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11128,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11154,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11172,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11185,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11192,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11217,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11227,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11238,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11253,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11264,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11269,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11270,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11306,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11316,2,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00668,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00678,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00702,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00705,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00747,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00751,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00753,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00780,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00789,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00813,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00830,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00832,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00833,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00887,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00891,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00919,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00945,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00951,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_00976,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_00995,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01039,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01055,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01057,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01073,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01083,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_01087,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01100,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01107,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01116,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01118,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01149,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01150,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_01152,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_01154,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
MCD_01163,2,DAL,True,(GMT-06:00) Central Time (US & Canada)
MCD_01180,2,SNA,True,(GMT-06:00) Central Time (US & Canada)
