Site,DC,Pod
MCD_11454,DAL,9
MCD_11603,DAL,9
MCD_11630,DAL,9
MCD_11714,DAL,9
MCD_11734,SNA,9
MCD_11813,DAL,9
MCD_11817,DAL,9
MCD_11879,DAL,9
MCD_11917,SNA,9
MCD_11943,SNA,9
MCD_11971,DAL,9
MCD_12073,SNA,9
MCD_12075,DAL,9
MCD_12097,DAL,9
MCD_12113,DAL,9
MCD_12128,DAL,9
