Site,DC,Pod,B&Z
MCD_08070,SNA,9,8_cst
MCD_08133,SNA,9,8_cst
MCD_10049,SNA,9,8_cst
MCD_10125,SNA,9,8_cst
MCD_10171,SNA,9,8_cst
MCD_10230,SNA,9,8_cst
MCD_10308,SNA,9,9_cst
MCD_10313,SNA,9,9_cst
MCD_10387,SNA,9,9_cst
MCD_10422,SNA,9,9_cst
MCD_10442,SNA,9,9_cst
MCD_10476,SNA,9,9_cst
MCD_10519,SNA,9,9_cst
MCD_10549,SNA,9,9_cst
MCD_10558,SNA,9,9_cst
MCD_10675,SNA,9,9_cst
