Site,DC,Pod,B&Z
MCD_15996,SNA,9,14_pst
MCD_16432,SNA,9,14_pst
MCD_16835,SNA,9,14_pst
MCD_16865,SNA,9,14_pst
MCD_16936,SNA,9,14_pst
MCD_16979,SNA,9,15_pst
MCD_17022,SNA,9,15_pst
MCD_17473,SNA,9,15_pst
MCD_17546,SNA,9,15_pst
MCD_17646,DAL,9,15_pst
MCD_17951,SNA,9,15_pst
MCD_18159,SNA,9,15_pst
MCD_18611,SNA,9,15_pst
MCD_18612,SNA,9,15_pst
MCD_18906,DAL,9,15_pst
MCD_18950,SNA,9,15_pst
