Site,DC,Pod,B&Z
MCD_11044,SNA,9,10_cst
MCD_11052,SNA,9,10_cst
MCD_11177,SNA,9,10_cst
MCD_04010,SNA,9,add_mst
MCD_00226,SNA,9,add_mst
MCD_01248,SNA,9,add_mst
MCD_02332,SNA,9,add_mst
MCD_02594,SNA,9,add_mst
MCD_02878,SNA,9,add_mst
MCD_05481,SNA,9,add_mst
MCD_05701,SNA,9,add_mst
MCD_18964,SNA,9,15_pst
MCD_18966,SNA,9,15_pst
MCD_19140,SNA,9,15_pst
MCD_19189,SNA,9,15_pst
