Site,DC,Pod,B&Z
MCD_18278,DAL,9,3_est
MCD_18759,DAL,9,4_est
MCD_18792,DAL,9,4_est
MCD_19139,DAL,9,4_est
MCD_19824,DAL,9,4_est
MCD_19862,DAL,9,4_est
MCD_20090,DAL,9,4_est
MCD_20276,DAL,9,4_est
MCD_20604,DAL,9,4_est
MCD_21081,DAL,9,4_est
MCD_21094,DAL,9,4_est
MCD_21133,DAL,9,4_est
MCD_21187,DAL,9,4_est
MCD_21739,DAL,9,4_est
MCD_21820,DAL,9,4_est
MCD_22257,DAL,9,5_est
