Site,DC,Pod,B&Z
MCD_36638,SNA,9,11_mst
MCD_37196,SNA,9,11_mst
MCD_37494,SNA,9,11_mst
MCD_37500,SNA,9,11_mst
MCD_38663,SNA,9,11_mst
MCD_38956,SNA,9,11_mst
MCD_38968,SNA,9,11_mst
MCD_39347,SNA,9,11_mst
MCD_39434,SNA,9,11_mst
MCD_39481,SNA,9,11_mst
MCD_39488,SNA,9,11_mst
MCD_39489,SNA,9,11_mst
MCD_39595,SNA,9,11_mst
MCD_39644,SNA,9,11_mst
MCD_39840,SNA,9,12_mst
MCD_03099,SNA,9,add_mst
