Site,DC,Pod,B&Z
MCD_25746,DAL,9,6_est
MCD_25963,DAL,9,6_est
MCD_25988,DAL,9,6_est
MCD_26438,DAL,9,6_est
MCD_26511,DAL,9,6_est
MCD_26530,DAL,9,6_est
MCD_26537,DAL,9,6_est
MCD_27388,DAL,9,6_est
MCD_10691,SNA,9,9_cst
MCD_10718,SNA,9,10_cst
MCD_10774,SNA,9,10_cst
MCD_10830,SNA,9,10_cst
MCD_10868,SNA,9,10_cst
MCD_10883,SNA,9,10_cst
MCD_10919,SNA,9,10_cst
MCD_10949,SNA,9,10_cst
