Site,DC,Pod
MCD_00943,DAL,10
MCD_00979,DAL,10
MCD_01043,DAL,10
MCD_01045,DAL,10
MCD_01059,DAL,10
MCD_01074,DAL,10
MCD_01084,DAL,10
MCD_01179,DAL,10
MCD_01224,DAL,10
MCD_01226,DAL,10
MCD_01235,DAL,10
MCD_01252,DAL,10
MCD_01270,DAL,10
MCD_01274,DAL,10
MCD_01309,DAL,10
MCD_01322,DAL,10
